Date,Earnings,Weekend
Dec 14-16,2900000,0
Dec 21-23,67873522,1
Dec 21-25Christmas long wknd,100707869,1
Dec 28-30,52114571,2
"Dec 28-Jan 1, 2019New Year's long wknd",78503988,1
Jan 4-6,31003280,3
Jan 11-13,17351134,4
Jan 18-20,10176067,5
Jan 18-21MLK wknd,12745159,5
Jan 25-27,7265123,6
Feb 1-3,4880138,7
Feb 8-10,3201653,8
Feb 15-17,1850532,9
Feb 15-18Presidents' Day wknd,2264112,9
Feb 22-24,759715,10
Mar 1-3,458206,11
Mar 8-10,200033,12
Mar 15-17,292701,13
Mar 22-24,228302,14
Mar 29-31,141069,15
